"","datetime","cap","return","logreturn","volatility.30d","volatility.90d","currency_slug"
"45",2014-02-18,593.67544,0.0123551660044678,0.0122794638450003,7.12752743055977,5.96426357118754,"BTC"
"46",2014-02-21,561.14602,-0.0547932722296883,-0.0563516158674711,5.83951554348795,5.90321702963301,"BTC"
"47",2014-02-24,547.72277,-0.0239211355361659,-0.0242118920795637,3.83107626112577,5.84086696031075,"BTC"
"48",2014-02-27,450,-0.178416482484378,-0.196521682015441,3.49608397088985,5.81255805741486,"BTC"
"49",2014-03-02,550,0.222222222222222,0.200670695462151,3.56765811293837,5.7712079813785,"BTC"
"50",2014-03-05,572.41339,0.0407516181818183,0.0399431619145285,3.57169310248242,5.7120719444174,"BTC"
"51",2014-03-08,628.73046,0.0983853120556805,0.093841203255196,3.50952366829013,5.65718876210164,"BTC"
"52",2014-03-11,623,-0.00911433494092205,-0.00915612460878798,3.14270039812674,5.60250724564405,"BTC"
"53",2014-03-14,550.275,-0.116733547351525,-0.124128365519286,3.14728910242293,5.56331037253096,"BTC"
"54",2014-03-17,550,-0.00049975012493749,-0.000499875041651043,3.0596550690941,5.51108065130017,"BTC"
"55",2014-03-20,610.01,0.109109090909091,0.103557072249092,2.99994302403501,5.46331484673535,"BTC"
"56",2014-03-23,554.05,-0.0917362010458845,-0.0962204150932745,2.30148481799535,5.42285557234765,"BTC"
"57",2014-03-26,554.50454,0.000820395271185029,0.000820058930926513,1.6487210775589,5.3746208388065,"BTC"
"58",2014-03-29,500,-0.0982941275827967,-0.103466895891069,1.67430569952675,5.33720833505526,"BTC"
"59",2014-04-01,436.07375,-0.1278525,-0.136796718001492,1.71080177871668,5.30610972448443,"BTC"
"60",2014-04-04,426.45421,-0.0220594337540382,-0.0223063815035846,1.69269940718747,5.2620531901948,"BTC"
"61",2014-04-07,440,0.0317637619288599,0.0312697279951912,1.69295889158192,5.21808328769278,"BTC"
"62",2014-04-10,450,0.0227272727272727,0.0224728558520586,1.67690419442995,5.17513693531539,"BTC"
"63",2014-04-13,353.75804,-0.213871022222222,-0.240634406149999,1.83975735419833,5.17167100367836,"BTC"
"64",2014-04-16,407.07491,0.150715641685486,0.140384045946413,1.91568782402185,5.13895876638761,"BTC"
"65",2014-04-19,477.19035,0.172242106495829,0.158918245329425,2.01435191191577,5.10947987387752,"BTC"
"66",2014-04-22,479.95971,0.00580347025039368,0.00578669498878277,2.01576926242669,5.07014646375068,"BTC"
"67",2014-04-25,484.62239,0.00971473209699211,0.0096678474901749,2.00846211662267,5.03165381327627,"BTC"
"68",2014-04-28,435,-0.102393927775396,-0.108023979280478,2.03060152216137,5.00281739654427,"BTC"
"69",2014-05-01,429.0854,-0.0135967816091954,-0.0136900643729249,2.02999020117125,4.96644770720978,"BTC"
"70",2014-05-04,432.4255,0.00778423129754591,0.00775409048343288,2.03166532117682,4.93038351741104,"BTC"
"71",2014-05-07,422.19,-0.023669973209258,-0.0239546075226059,2.02337380887473,4.89595915918724,"BTC"
"72",2014-05-10,431.61274,0.0223187190601387,0.022073301344033,2.02773184112392,4.86137018567248,"BTC"
"73",2014-05-13,432.21299,0.00139071427780379,0.00138974813035552,1.94503523419404,4.82762481813258,"BTC"
"74",2014-05-16,436.44999,0.00980303715536181,0.00975529911825217,1.84088283774503,4.79447298356657,"BTC"
"75",2014-05-19,445.56,0.0208729756185812,0.0206581197077626,1.82629765075119,4.76197436742493,"BTC"
"76",2014-05-22,449.995,0.00995376604722148,0.00990455361453652,1.82598131557107,4.73014759339713,"BTC"
"77",2014-05-25,494.77454,0.0995111945688285,0.0948657124695593,1.85175119551256,4.70198225464517,"BTC"
"78",2014-05-28,529.99999,0.0711949527556532,0.0687748036171581,1.86686703669982,4.67264058867907,"BTC"
"79",2014-05-31,564.90155,0.0658520012424906,0.063774480497678,1.74496974085448,4.64360363980515,"BTC"
"80",2014-06-03,603.86986,0.0689824802215536,0.0667072429671239,1.62049133676577,4.61523423708427,"BTC"
"81",2014-06-06,525,-0.130607379543665,-0.139960448551421,1.68683294414148,4.59882432475826,"BTC"
"82",2014-06-09,636.68008,0.212723961904762,0.192869037621841,1.78709739068929,4.5852398366143,"BTC"
"83",2014-06-12,617.99453,-0.0293484130994014,-0.0297876939276313,1.78984051822288,4.55839063011072,"BTC"
"84",2014-06-15,542.96197,-0.121412984027545,-0.129440325637004,1.79440024043958,4.54145630262417,"BTC"
"85",2014-06-18,534.2759,-0.0159975660910468,-0.0161269084482342,1.79520848402888,4.51488443837235,"BTC"
"86",2014-06-21,578.508,0.0827888736886692,0.0795400032052797,1.78002750598115,4.49008358330794,"BTC"
"87",2014-06-24,581.093,0.00446839110262939,0.00445843748320112,1.74823006504786,4.46398759492166,"BTC"
"88",2014-06-27,557.432,-0.0407180950381435,-0.0415702900882954,1.7544816096539,4.4399045637501,"BTC"
"89",2014-06-30,575.35,0.0321438309964265,0.0316380284686869,1.71825863980544,4.41470371206793,"BTC"
"90",2014-07-03,587.724,0.0215069088380986,0.0212788986771403,1.64408587246095,4.38983933371191,"BTC"
"91",2014-07-06,618,0.0515139759478938,0.0502310075110828,1.64578398748076,4.36588067735918,"BTC"
"92",2014-07-09,614.74121,-0.00527312297734624,-0.00528707495893659,1.64534781406993,4.36598037370783,"BTC"
"93",2014-07-12,614.47299,-0.000436313680678805,-0.000436408893188752,1.64524620698298,4.36601641413684,"BTC"
"94",2014-07-15,618.14322,0.00597297205854412,0.00595520457562036,1.38513344777432,4.36605073518584,"BTC"
"95",2014-07-18,610.34746,-0.012611575679824,-0.0126917766206899,1.31857546895657,4.36586831180758,"BTC"
