"exchange_id","name","year_established","country","url","trust_score","trading_volume_24h_btc"
"elk_finance_ethereum","Elk Finance (Ethereum)",NA,NA,"https://app.elk.finance/#/swap",NA,0.633986036055212
"coinfalcon","Coinfalcon",2017,"United Kingdom","https://coinfalcon.com/",NA,0.583036537731766
"newdex","Newdex",2018,"Cayman Islands","https://newdex.io/",NA,0.561220918636846
"powertrade","Powertrade",NA,NA,"https://power.trade/",NA,0.453750205245653
"btc_exchange","Btc Exchange",2018,"Lithuania","https://www.btc-exchange.com/",NA,0.358597713094497
"chainex","ChainEX",2018,"South Africa","https://chainex.io/",NA,0.19748564764425
"unicly","Unicly",2020,NA,"https://www.unic.ly/",NA,0.135103428010807
"concave","Concave",NA,NA,"https://app.concave.lol/swap",NA,0.115003471083178
"beaxy","Beaxy",2017,"United States","https://www.beaxy.com/",NA,0.031943225135
"nexus_mutual","Nexus Mutual",NA,NA,"https://nexusmutual.io/",NA,0.0265806401052712
"amaterasu","Amaterasu Finance",2022,NA,"https://app.amaterasu.fi/",NA,0.0148577231321832
"aave","Aave",2019,NA,"https://app.aave.com/?referral=93",NA,0.0130048364967294
"algebra_finance","Algebra finance",NA,NA,"https://app.algebra.finance/",NA,0.0054473079260684
"thorus","Thorus",NA,NA,"https://app.thorus.fi/swap",NA,0.0049664600921352
"bossswap","BossSwap",NA,NA,"https://www.bossswap.finance/",NA,0.0044147426051896
"clipper_moonbeam","Clipper (Moonbeam)",NA,NA,"https://clipper.exchange/",NA,0.0009568073253169
"agora_swap","Agora Swap",NA,NA,"https://agoradefi.io/",NA,2.0509628694e-06
"binance_dex_mini","Binance DEX (Mini)",NA,NA,NA,NA,6.90920383258806
"defi_plaza","DefiPlaza",NA,NA,"https://defiplaza.net/",NA,2.45527681660539
